COUNTRY,COUNTRY ABBREV,CCODE,YEAR,ISOCODE,TOTGEN,UEGEN,SKGEN,PGEN,APWWage,US100,UC1000,SS100,SC1000,MPS100,MPC1000,SPS100,SPC1000,UEQUAL,UEDUR,UEWAIT,UECOV,SICKQUAL,SICKDUR,SICKWAIT,SICKCOV,PQUAL,PFUND,AVGPER,PENCOV,MRET,FRET,LEXP65
"Australia",AUS,1,2008,36,20.8,7.2,6.3,7.3,64715,0.239,0.524,0.239,0.524,0.299,0.423,0.299,0.423,0,999,7,1,0,999,7,1,0,0,0,0.684,65,65,20.1
"Australia",AUS,1,2009,36,20.7,7.1,6.3,7.3,64715,0.234,0.515,0.234,0.515,0.294,0.418,0.294,0.418,0,999,7,1,0,999,7,1,0,0,0,0.727,65,65,20.25
"Australia",AUS,1,2010,36,20.9,7.1,6.3,7.6,67952,0.228,0.501,0.228,0.501,0.346,0.441,0.346,0.441,0,999,7,1,0,999,7,1,0,0,0,0.717,65,65,20.35
"Australia",AUS,1,2011,36,,7.2,6.3,,71189,0.224,0.533,0.224,0.533,0.343,0.475,0.343,0.475,0,999,7,1,0,999,7,1,0,0,0,,,,
"Austria",AUT,2,2008,40,34.2,10.4,10.4,13.4,28206,0.55,0.723,0.911,0.899,0.5,0.566,0.78,0.638,312,39,0,0.86,780,62,3,0.84,45,0.45,20,,65,60,19.4
"Austria",AUT,2,2009,40,34,10.4,10.2,13.4,28640,0.55,0.731,0.885,0.892,0.497,0.563,0.799,0.639,312,39,0,0.86,780,62,3,0.83,45,0.45,21,,65,60,19.45
"Austria",AUT,2,2010,40,34.3,10.4,10.3,13.6,29148,0.55,0.729,0.882,0.885,0.496,0.562,0.829,0.665,312,39,0,0.86,780,62,3,0.84,45,0.45,22,,65,60,19.65
"Austria",AUT,2,2011,40,,10.4,10.3,,29724,0.55,0.726,0.888,0.88,0.432,0.589,0.836,0.677,312,39,0,,780,62,3,,45,0.45,23,,65,60,
"Belgium",BEL,3,2008,56,41.6,13.7,13.6,14.3,36796,0.606,0.683,0.813,0.844,0.496,0.446,0.729,0.702,78,999,0,0.87,26,52,1,1,35,0.46,35,,60,60,19.1
"Belgium",BEL,3,2009,56,41.9,13.6,13.7,14.6,37091,0.619,0.682,0.823,0.852,0.522,0.467,0.748,0.708,78,999,0,0.86,26,52,1,1,35,0.46,35,,60,60,19.3
"Belgium",BEL,3,2010,56,42.6,14,13.7,14.8,37437,0.673,0.736,0.83,0.858,0.527,0.472,0.76,0.721,78,999,0,,26,52,1,,35,0.46,35,1.02,60,60,19.45
"Belgium",BEL,3,2011,56,,13.8,13.6,,38560,0.668,0.731,0.816,0.845,,,,,78,999,1,,26,52,1,,35,0.46,35,,60,60,
"Canada",CAN,4,2008,124,25.8,8.1,5.3,12.5,43406,0.559,0.607,0.346,0.398,0.413,0.579,0.539,0.753,45,38,14,0.83,15,15,14,0.8,36,0.5,36,0.99,65,65,20.1
"Canada",CAN,4,2009,124,25.8,8.1,5.1,12.6,43302,0.568,0.615,0.362,0.404,0.419,0.585,0.55,0.766,45,42,14,0.82,15,15,14,0.77,37,0.5,37,0.99,65,65,20.2
"Canada",CAN,4,2010,124,25.7,8.1,5.2,12.4,45191,0.558,0.607,0.365,0.396,0.401,0.565,0.545,0.761,45,42,14,0.82,15,15,14,0.78,37,0.5,37,0.99,65,65,20.3
"Canada",CAN,4,2011,124,,8,5.1,,46653,0.554,0.605,0.356,0.395,0.396,0.558,,,45,40,14,,15,15,14,,,0.5,,,65,65,
"Denmark",DNK,5,2008,208,33.3,9.3,12.1,11.8,371438,0.493,0.521,0.551,0.549,0.44,0.557,0.507,0.612,52,208,0,0.7,13,52,0,1,40,0.33,40,1,65,65,18.05
"Denmark",DNK,5,2009,208,33.3,9.4,12.1,11.8,379451,0.476,0.51,0.547,0.549,0.437,0.561,0.501,0.614,52,208,0,0.71,13,52,0,1,40,0.33,40,0.99,65,65,18.15
"Denmark",DNK,5,2010,208,34.1,9.5,12.2,12.3,378917,0.564,0.588,0.564,0.565,0.458,0.589,0.531,0.651,52,104,0,0.71,13,52,0,1,40,0.33,40,1.02,65,65,18.35
"Denmark",DNK,5,2011,208, ,9.5,12.3,,387236,0.562,0.586,0.573,0.572,0.456,0.589,0.53,0.651,52,104,0,0.71,13,52,0,,,,,,,,
"Finland",FIN,6,2008,246,33.5,8.8,12.1,12.6,35032,0.534,0.625,0.701,0.729,0.273,0.416,0.663,0.821,43,100,7,0.73,0,50,10,1,40,0.19,45,1,65,65,19.4
"Finland",FIN,6,2009,246,33.9,8.9,12.1,12.8,35588,0.537,0.628,0.708,0.734,0.277,0.446,0.68,0.841,43,100,7,0.74,0,50,10,1,40,0.2,45,1,65,65,19.4
