TIME,2008
Belgium,116
Bulgaria,43
Czechia,85
Denmark,127
Germany (until 1990 former territory of the FRG),118
Estonia,70
Ireland,136
Greece,95
Spain,102
France,108
Croatia,64
Italy,108
Cyprus,107
Latvia,60
Lithuania,64
Luxembourg,266
Hungary,64
Malta,80
Netherlands,143
Austria,127
Poland,56
Portugal,82
Romania,52
Slovenia,91
Slovakia,73
Finland,123
Sweden,129
United Kingdom,113
Iceland,132
Liechtenstein,
Norway,190
Switzerland,161
Montenegro,42
North Macedonia,32
Albania,25
Serbia,39
Turkey,49
Bosnia and Herzegovina,29
United States,148
Japan,107
,
,
,
