TIME,2008
Belgium,27.9
Bulgaria,14.7
Czechia,17.9
Denmark,30.4
Germany (until 1990 former territory of the FRG),27.4
Estonia,14.6
Ireland,20.4
Greece,22.8
Spain,21.6
France,30.8
Croatia,18.8
Italy,26.6
Cyprus,17.6
Latvia,12.1
Lithuania,15.9
Luxembourg,20.9
Hungary,22.3
Malta,18.2
Netherlands,26.1
Austria,27.6
Poland,19.3
Portugal,23.4
Romania,13.7
Slovenia,21
Slovakia,15.7
Finland,25
Sweden,27.8
United Kingdom,25.5
Iceland,20.7
Liechtenstein,
Norway,21.8
Switzerland,23.6
Montenegro,
North Macedonia,
Albania,
Serbia,21.6
Turkey,11.4
Bosnia and Herzegovina,
,
,
